Sampling Timestamp,Aluminum Dissolved,Site Name,Station Name,Depth,Value Sign,Unit Symbol,Method,Laboratory,Sampling Number,Sample Number,RDL,Sample Location,Sample Type,Sample Timestamp
08/29/2003 1:45 PM,78.3,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,2837,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),03SWE01797,03SWE01797,,Centre,DISCRETE SAMPLE (GRAB),08/29/2003 12:45 PM
08/29/2004 3:10 PM,64.5,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),04SWE03080,04SWE02274,,Centre,SINGLE EUPHOTIC COMPOSITE,08/29/2004 2:10 PM
08/27/2007 12:30 PM,62.7,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),07SWE05679,07SWE02717,,Centre,DISCRETE SAMPLE (GRAB),08/27/2007 11:30 AM
09/02/2008 2:00 PM,98.3,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),08SWE03983,08SWE02176,,Centre,DISCRETE SAMPLE (GRAB),09/02/2008 1:00 PM
08/16/2009 12:30 PM,128,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),09SWE00921,09SWE00749,,Centre,DISCRETE SAMPLE (GRAB),08/16/2009 11:30 AM
08/30/2010 12:30 PM,115,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),10SWE01914,10SWE01373,1,Centre,DISCRETE SAMPLE (GRAB),08/30/2010 11:30 AM
08/31/2011 11:30 AM,90.3,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),11SWE06651,11SWE06652,1,Centre,DISCRETE SAMPLE (GRAB),08/31/2011 10:30 AM
08/27/2012 1:15 PM,69.7,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),12SWE02147,12SWE02148,1,Centre,SINGLE EUPHOTIC COMPOSITE,08/27/2012 12:15 PM
09/05/2013 12:20 PM,144,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),13SWE02466,13SWE02467,1,Centre,DISCRETE SAMPLE (GRAB),09/05/2013 11:20 AM
08/25/2015 1:00 PM,75.9,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),15SWE05438,15SWE05439,0.13,Centre,SINGLE EUPHOTIC COMPOSITE,08/25/2015 12:00 PM
08/24/2016 11:20 AM,99.3,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),16SWE08232,16SWE08233,0.13,Centre,DISCRETE SAMPLE (GRAB),08/24/2016 10:20 AM
08/21/2017 12:45 PM,73.2,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),17SWE12748,17SWE12749,0.4,Centre,DISCRETE SAMPLE (GRAB),08/21/2017 11:45 AM
09/14/2020 12:45 PM,124,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830-02,0.4,Centre,REPLICATE SAMPLE,09/14/2020 11:45 AM
09/14/2020 12:45 PM,0.4,WHITESAND LAKE,WHITESAND LAKE,1.0,<,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830-03,0.4,Centre,FIELD BLANK,09/14/2020 11:45 AM
09/14/2020 12:45 PM,109,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),20SWE10829,20SWE10830,0.4,Centre,DISCRETE SAMPLE (GRAB),09/14/2020 11:45 AM
08/17/2021 12:20 PM,102,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-02,0.4,Centre,REPLICATE SAMPLE,08/17/2021 11:20 AM
08/17/2021 12:20 PM,96.9,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-01,0.4,Centre,DISCRETE SAMPLE (GRAB),08/17/2021 11:20 AM
08/17/2021 12:20 PM,0.4,WHITESAND LAKE,WHITESAND LAKE,,<,µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),21SWE04611,21SWE04611-03,0.4,Field Blank,FIELD BLANK,08/17/2021 11:20 AM
09/12/2022 11:30 AM,0.9,WHITESAND LAKE,WHITESAND LAKE,,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-03,0.4,Centre,FIELD BLANK,09/12/2022 11:00 AM
09/12/2022 11:30 AM,85.8,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-02,0.4,Centre,REPLICATE SAMPLE,09/12/2022 10:45 AM
09/12/2022 11:30 AM,90.4,WHITESAND LAKE,WHITESAND LAKE,0.1,"'---",µg/l,1849,AITF-EAS (ENVIRONMENTAL ANALYTICAL SERVICES),22SWE04603,22SWE04603-01,0.4,Centre,DISCRETE SAMPLE (GRAB),09/12/2022 10:30 AM