lake,project_number,sample_number,station_number,station,latitude_decimal_degrees,longitude_decimal_degrees,sample_datetime,station_type_code,sample_matrix_code,sample_type_code,collection_code,qc_sample_flag,sample_comment,continental_river_basin_code,river_basin_code,river_sub_basin_code,aluminum_total_recoverable,calcium_dissolved_filtered,calcium_total_recoverable,copper_total,copper_total_recoverable,lead_total_recoverable,nickel_total,nickel_total_recoverable,nitrogen_dissolved_nitrite,nitrogen_dissolved_no3_no2,nitrogen_particulate_total,oxygen_dissolved_field_meter,oxygen_dissolved_winkler,ph_lab,phosphorus_total,phosphorus_total_dissolved,turbidity_ntu,vanadium_total,vanadium_total_recoverable
gregoire,ABS002,88AB003274,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1988-08-18 10:30:00,1,0,1,,N,,MAC,ATH,07CE,,15.0,,0.002,,,0.003,,0.0025,0.023,0.18,,,7.5,,,5.3,0.001,
gregoire,ABS002,89AB003284,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.6,,,,,,,
gregoire,ABS002,89AB003285,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.5,,,,,,,
gregoire,ABS002,89AB003286,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.4,,,,,,,
gregoire,ABS002,89AB003287,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.2,,,,,,,
gregoire,ABS002,89AB003288,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.9,,,,,,,
gregoire,ABS002,89AB003289,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:35:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.44,,,,,,,
gregoire,ABS002,89AB003290,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1989-09-13 12:36:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.6,,,,,,,
gregoire,ABS002,90AB001758,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:31:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.001,0.07,,11.0,11.38,7.28,0.0187,0.014,,,
gregoire,ABS002,90AB001759,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,10.2,,,,,,,
gregoire,ABS002,90AB001760,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:33:00,1,0,1,,N,,MAC,ATH,07CE,,20.0,,,,,,,0.001,0.09,,9.7,9.44,7.23,0.0143,0.0116,,,
gregoire,ABS002,90AB001761,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,6.3,,,,,,,
gregoire,ABS002,90AB001762,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-03-16 11:35:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.001,0.138,,4.5,4.89,7.15,0.0169,0.0132,,,
gregoire,ABS002,90AB001763,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001764,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001765,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.9,,,,,,,
gregoire,ABS002,90AB001766,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.2,,,,,,,
gregoire,ABS002,90AB001767,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1990-08-21 16:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.0,,,,,,,
gregoire,ABS002,91AB002492,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:01:00,1,0,1,,N,,MAC,ATH,07CE,,28.0,,,,,,,0.007,0.027,,12.34,,8.23,0.0127,,,,
gregoire,ABS002,91AB002493,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:02:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,11.6,,,,,,,
gregoire,ABS002,91AB002494,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:03:00,1,0,1,,N,,MAC,ATH,07CE,,19.0,,,,,,,0.001,0.078,,11.29,,7.04,0.0128,,,,
gregoire,ABS002,91AB002495,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:04:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.69,,,,,,,
gregoire,ABS002,91AB002496,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-01-23 15:05:00,1,0,1,,N,,MAC,ATH,07CE,,20.0,,,,,,,0.001,0.193,,6.66,,7.03,0.0162,,,,
gregoire,ABS002,91AB002497,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:30:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.6,,,,,,,
gregoire,ABS002,91AB002498,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:31:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.4,,,,,,,
gregoire,ABS002,91AB002499,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:32:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.3,,,,,,,
gregoire,ABS002,91AB002500,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:33:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.3,,,,,,,
gregoire,ABS002,91AB002501,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:34:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,9.0,,,,,,,
gregoire,ABS002,91AB002502,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:35:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,2.9,,,,,,,
gregoire,ABS002,91AB002503,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1991-08-15 16:36:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,0.4,,,,,,,
gregoire,ABS002,92AB002672,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:40:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.74,,,,,,,
gregoire,ABS002,92AB002673,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:41:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.73,,,,,,,
gregoire,ABS002,92AB002674,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:42:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.95,,,,,,,
gregoire,ABS002,92AB002675,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:43:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.69,,,,,,,
gregoire,ABS002,92AB002676,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:44:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.14,,,,,,,
gregoire,ABS002,92AB002677,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1992-08-12 16:45:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.69,,,,,,,
gregoire,ABS002,93AB002994,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:00:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.82,,,,,,,
gregoire,ABS002,93AB002995,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:01:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.66,,,,,,,
gregoire,ABS002,93AB002996,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:02:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.65,,,,,,,
gregoire,ABS002,93AB002997,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:03:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.61,,,,,,,
gregoire,ABS002,93AB002998,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:04:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.5,,,,,,,
gregoire,ABS002,93AB002999,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:05:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,9.06,,,,,,,
gregoire,ABS002,93AB003000,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:06:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.96,,,,,,,
gregoire,ABS002,93AB003001,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1993-07-14 11:07:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.06,,,,,,,
gregoire,ABS002,94AB001062,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:45:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.001,0.056,,12.1,,7.56,0.0165,0.0134,,,
gregoire,ABS002,94AB001063,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:46:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,10.85,,,,,,,
gregoire,ABS002,94AB001064,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:47:00,1,0,1,,N,,MAC,ATH,07CE,,20.0,,,,,,,0.001,0.071,,10.32,,7.44,0.015,0.0131,,,
gregoire,ABS002,94AB001065,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:48:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,8.77,,,,,,,
gregoire,ABS002,94AB001066,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:49:00,1,0,1,,N,,MAC,ATH,07CE,,21.0,,,,,,,0.002,0.191,,4.63,,7.18,0.0176,0.0149,,,
gregoire,ABS002,94AB001067,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1994-03-11 09:50:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,1.8,,,,,,,
gregoire,ABS019,96SWE02508,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:45:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.89,,,,,,,
gregoire,ABS019,96SWE02510,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:47:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.86,,,,,,,
gregoire,ABS019,96SWE02512,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:49:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.84,,,,,,,
gregoire,ABS019,96SWE02514,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:51:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.85,,,,,,,
gregoire,ABS019,96SWE02516,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:53:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.79,,,,,,,
gregoire,ABS019,96SWE02517,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1996-08-01 10:54:00,1,0,1,122.0,N,,MAC,ATH,07CE,,,,,,,,,,,,7.76,,,,,,,
gregoire,ABS019,97SWE00263,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:00:00,1,0,1,,N,Lake Profile data from :lk064.xls.  VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,18.0,,,,,,,,0.059,,11.8,,7.05,0.022,,,,
gregoire,ABS019,97SWE00264,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:03:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,11.96,,,,,,,
gregoire,ABS019,97SWE00265,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:05:00,1,0,1,,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,17.2,,,,,,,,0.023,,11.1,,6.98,0.0177,,,,
gregoire,ABS019,97SWE00266,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:07:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.53,,,,,,,
gregoire,ABS019,97SWE00267,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:10:00,1,0,1,,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,0.122,,5.47,,,0.0209,,,,
gregoire,ABS019,97SWE00268,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:13:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,2.87,,,,,,,
gregoire,ABS019,97SWE00269,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-02-27 13:15:00,1,0,1,,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  Three lab conductivities on some of these samples also confirm that a transcription error most likely occurred.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,18.2,,,,,,,,0.215,,0.77,,6.77,0.0276,,,,
gregoire,ABS019,97SWE02811,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-08-20 09:55:17,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.73,,,,,,,
gregoire,ABS019,97SWE02813,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-08-20 09:56:32,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.69,,,,,,,
gregoire,ABS019,97SWE02815,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-08-20 09:57:33,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.58,,,,,,,
gregoire,ABS019,97SWE02817,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-08-20 10:00:00,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.5,,,,,,,
gregoire,ABS019,97SWE02819,AB07CE0110,"GREGOIRE LAKE, PROFILE",56.45578,-111.15446,1997-08-20 10:03:56,1,0,1,122.0,N,VMV code 100924 Specific Conductance (Field) was changed due to a suspected transcription error.  The value was divided by ten.  The decision to do this was based on historical data from 1973 to 2008 in which the conductivity was consistently ten times lower than the data in this profile.  28-Jun-12 Lisa Reinbolt,MAC,ATH,07CE,,,,,,,,,,,,8.44,,,,,,,
